相关编号,决定税号,商品名称（中文）,商品名称（英文）,商品名称（其他）,商品描述,发布单位
R-2-5200-2024-0052,84799090,点胶阀密封圈,ORING,,规格、型号：无型号；外径7.5mm*内径1.3mm*深度2.7mm。结构组成：密封圈整体形状为蜂窝状，横截面为圆形；外圈是白色塑胶圆形结构，材质是聚乙烯；内部镶嵌SUS301不锈钢弹簧片。内部弹簧片提供弹性，随着阀芯的开关动作弹簧片产生一定的轻微形变，这种形变进一步增强密封圈与密封面之间的贴合程度，形成动态密封效果；同时弹片有助于纠正磨损和偏心，保护密封圈的外圈形状不受影响。密封圈的结构是根据自动点胶机的点胶阀设计的，其形状与点胶阀的阀体和阀芯的密封面之间形成紧密贴合，消除间隙，阻止胶水外泄。工作原理：通用于自动点胶机的配件，安装在自动点胶机设备上的点胶阀内部，与点胶阀的阀体和阀芯的密封面之间形成紧密贴合，封闭胶阀，避免胶水从胶阀中溢出。,黄埔海关
R-2-2200-2024-0221,87019490,多功能车,Multimec MF 100,无,"A品名:多功能车 B品牌:Normet C规格型号:Multimec MF 100 D用途:用于矿山井下和隧道,实现材料,油料,混凝土,炸药等物料和人员的运输,为井下作业设备提供检修工具或加油服务,为井下巷道洒水除尘,起吊物料,提升安装等. Multimec MF 100多功能车可搭配不同功能的车厢,安装不同的车厢可实现不同的功能.适用的车厢包括以下种类:1.平板车厢:运输任何物品.2.材料运输车厢:运输材料物料.3.随车吊车厢:运输和起吊物料.4.炸药运输车厢:运输炸药5.混凝土罐运输车厢:运输预拌混凝土6.泥罐车厢:抽取并运输污泥7.灭火系统车厢:为火灾灭火8.人员运输车厢:运送人员9.检修车厢:提供检修所需工具和器材.10.柴油车厢:运输柴油,给其他设备加柴油11.洒水车厢:洒水除尘12.油料车厢:运输机油,液压油,润滑油等油料,给其他设备加油13.剪式举升平台车厢:剪式举升,铺设电缆,管道或装药填充等高空作业.14.带篮筐工作臂车厢:臂式举升,铺设电缆,管道或装药填充等高空作业功能:使用一个车辆,通过搭配和切换不同种类的车厢,执行多功能作业. E结构:1.Multimec MF 100多功能车由前后车架二部分组成. 前车架包括驾驶室,发动机,变速箱,传动轴,前车桥及车轮,柴油箱,液压油箱,液压泵,液压管路,车厢装卸控制装置. 后车架部分包括传动轴,后车桥及车轮,带拖钩的底板,液压油缸,液压管路. 前后车架在中间铰接连接. 车辆转向方式为前后车架液压铰接转向,制动方式为车桥液压制动.2.Multimec MF 100多功能车报验状态不包含车厢.3.与多功能车配套的各种车厢底部的轨道均可与Multimec MF 100多功能车后车架底板配合安装.F工作原理:1.车厢与多功能车的机械连接:车厢的装卸和更换通过液压系统完成. 后车架有举升油缸和推拉油缸,液压动力来自前车架的液压泵,通过阀门和管路实现油缸的动作. 当安装车厢时,举升油缸将后车架底板的前端举起,底板后部着地,深入到车厢底部托起车厢,并用拖钩钩住车厢底部. 同时,推拉油缸开始工作,将车厢拉起至多功能车底板轨道,不断拉伸直至车厢与多功能车底板完全配合.最后,用锁止销将车厢与多功能车底板固定.2.车厢与多功能车的油路和电路连接:将车厢的油泵或管路与前车架相连接,液压系统连通.同时,将车厢上的电缆或线束与前车架控制系统相连接. 机械,液压和电力连接几分钟即可完成. G性能指标:1.柴油发动机,功率129千瓦.2.车身尺寸:8220x2040x2570mm.3.外转弯半径:6670mm,内转弯半径:4130mm.4.平地空载最高时速:26km/h.5.自重9500公斤,最大有效载荷为10吨,最大满载重量19500kg.",上海海关
R-2-2200-2024-0219,31059090,有机肥料（4-1-1）,Organic Fertilizer（4-1-1）,,结构原理：均匀的粉状物料，由草木灰，腐植酸，糠醛渣，尿素物料混合发酵而成，细度20-60目。性能指标：发酵后的物料有机质＞45%，氮磷钾养分6左右，功能用途：提高土壤的有机质，提高土壤养分的利用率，增加土壤的透气性，改良土壤的板结团粒结构。促进作物根系活力，提高作物的抗逆性，促进作物生长，改善作物的品质。用于果树、蔬菜、药材、水稻、玉米、小麦等作物。成份：腐植酸10%，糠醛渣60%，草木灰22%，尿素8%。加工方法：原料混合、发酵、破碎、筛分、检验、包装计量。规格：1000kg/包。分析方法：依据NY525-2012标准要求检测分析。,上海海关
R-2-2200-2024-0217,90318090,DRPI数字化棒位指示系统,Digital Rod Position Indication System,,电压:220V；品牌:Westinghouse；型号:PLS（备注：PLS是指电站控制系统，DRPI是指数字化棒位系统，DRPI系统作为PLS系统的一个子系统，统一都用PLS作为其型号）；规格：无；结构组成：棒位数据采集柜A/B（安全壳内）、棒位逻辑柜、棒位试验柜、棒位探测器。其中，数据采集柜A/B包含微处理器控制器、数据采集IO模块（模拟量至少监测69个压差输入）、动力/通信电缆等；棒位逻辑柜采用单独I/O模块分别对A/B采集柜里的数据进行采集，并能与电厂实时数据网进行通讯；落棒试验柜包括带可固定机架的工业计算机、至少15英寸的触摸屏平板显示器、硬盘驱动器、键鼠、DVD刻录机、打印机等。性能指标：1E级设备，安全D级，抗震2级（仅适用于数据采集柜A/B和棒位逻辑柜）；用途：核反应堆用，用于监测控制棒在堆芯内提升或插入的实时位置，同时用于试验落棒时间。棒位检测具体方式和原理：核电单机组棒位探测器共69个，通过电磁感应方式检测控制棒驱动杆在堆芯的实际位置，当驱动杆在棒位探测器线圈中穿过时会影响线圈阻抗变化，从而使线圈回路电流发生变化。棒位探测器线圈的电流信号送入棒位数据采集柜A/B后，通过采用电阻获得同比例的电压信号；对该电压信号进线滤波整流和编码，输出格雷码信号和状态信号；通过IO卡与棒位逻辑柜通信，发送格雷码信号和状态信号。在棒位逻辑柜中，将数据柜A和B的两个格雷码转十进制并合成获得全精度实测棒位值；当任何一个实测棒位与棒控系统的要求棒位不符时则输出报警。落棒试验柜提供人机接口供操纵员试验落棒时间，操纵员按要求先从主控室将所需棒组移动到完全提出的位置，当反应堆停堆断路器分闸并向落棒系统发送继电器闭合信号时，选择的棒落入堆芯，落棒系统记录此棒的数据曲线、判断落棒时间并予以记录打印，即落棒试验功能。,上海海关
R-2-2900-2024-0029,25309099,海绿石砂,Green Sand,,海绿石是浅海砂质沉积物在弱氧化-弱还原的同生期被海绿石胶结成岩；生产工艺：天然矿开采一选一研磨一包装等；用途：我公司进口是用于改良土壤。另外，经处理的海绿石能吸附水中的Mg、Ca离子，释放出Na离子，在处理水质时，可用来清除水中可溶性的铁盐和锰盐。还可用作颜料、玻璃的抛光剂等；成分含量：4.94%灼烧减量，8.72%三氧化二铝，67.39%二氧化硅，11.12%三氧化二铁，0.89%氧化钙，1.92%氧化镁，3.94%氧化钾，0.19%氧化钠，0.57%二氧化钛，0.02%氧化钡，0.01%氧化锶，0.02%一氧化锰，0.1%五氧化二磷，0.02%三氧化二铬，0.15%其他（二氧化锆、氧化锂、一氧化铅、氧化锌、氧化镉、三氧化硫、一氧化镍、一氧化钴、氧化铜、氧化铷等）；包装：1.25千克/包,杭州海关
R-2-2200-2024-0202,47010000,木纤维,wood fibre,,将木材经过物理热能处理后，制成高品质木纤维，其用途是栽培。将采购的木片/木块从料斗中输送到纤维粉碎机中，利用纤维粉碎机的滚筒将木片/木块碾开，在碾开的过程中通过巨大的摩擦力产生热量，结合木片/木块中自带的水分，产生蒸汽（大于90℃）。在此过程中同时完成碾磨及加热消毒的工作，通过切割机自带料斗，将碾磨完毕的纤维原料输送至刀口处，根据所需的木纤维粗细度，进行切割操作。木材来源：松木，成分：100%木纤维，引进的规格：中粗（0-20mm）,上海海关
R-2-4200-2024-0020,69091200,陶瓷球,92% ALUMINA BALLS,氧化铝陶瓷球,1、品名：陶瓷球，又称氧化铝陶瓷球；2、结构：圆形球状，分别为直径60MM和90MM；3、成份：AL2O3:92%，SIO2:7%，FE2O3:0.2%，TIO2:0.3%；4、加工方法：原材料是：铝矾土75%、辊棒粉15%、工业氧化铝粉8%、高温煅烧阿尔法氧化铝粉2%等材料为原料。第一步：把这些原材料破碎，研磨，制成粉末。第二步：这些粉末放入混料机中，进行搅拌混合均匀。第三步：粉末进入压力机上，压制成球状。第四步：这些球胚，进入高温隧道窑中，烧5-7天。第五步：出窑后，进行挑选，包装，发货。5、用途：主要用在球磨机中，研磨矿物原料，研磨成粉，产品具有密度高，硬度高，磨耗低，抗震稳定性好，耐腐蚀等特点，是釉料、坯料及各种矿粉加工最理想的研磨介质，直径从0.5MM到90MM，本次出口直径为60mm和90mm 性能指标：莫氏硬度9。,青岛海关
R-2-5300-2024-0031,84145990,精密空调,Precision air conditioning,,品牌和型号：Envicool 牌精密空调，CyberMate070BED1C 机房专用空调产品。用途：是针对交换机房和移动机房、计算机房、数据中心（IDC）、高科技环境及实验室、工业控制室和精密加工设备、标准检测室和校准中心、UPS 和电池室、生化培养室、医院和检测室、实验室及工业洁净室等应用场所开发的机房专用空调系列，机组性能参数完全按照机房精密空调要求设计制造，产品具有高节能率、高可靠性、高能效比、多冷量段、多送风方式等特点。构成：空调由冷水管和风机构成。原理：冷水管外接冷源，在空调内部完成热交换，降低空气温度后，由风机将低温空气送出，从而降低环境温度。风机功率：2.8kW。备注：该产品未设计调节湿度的装置。,深圳海关
R-2-5100-2024-0054,84798999,克隆筛选单细胞分选系统,single cell dispenser,,1、性能：分离单细胞效率高；2、用途：单细胞分离和筛选；3、成分和材质：金属、塑料等（见附件）；4、包装：泡沫防震包装；5、结构原理（见附件）：明场分选设备，内部包括喷嘴成像、(配置：基于明场图像单细胞的分选，如CHO，HEK，Hela，L929，U2OS，IPS等细胞)、钢制底盘、电源板、电脑盒、电子盒、光学盒、轴系、底板；6、工作原理（见附件）：将装有细胞的细胞悬液加载入芯片中，仪器基于芯片从细胞悬液中按需生成液滴，生成的液滴被相机所捕获并识别、检测、分类此液滴（含有单个细胞的液滴、含有两个或多个细胞的液滴以及不含细胞的液滴），满足需求（如单个细胞的液滴，且液滴中的这个单细胞的直径、圆度满足一定条件(由使用者设置，直径范围为0-40微米，圆度范围为0-1)）的液滴从喷嘴喷出并掉入至孔板中。喷嘴成像是基于高分辨率的相机，对芯片的喷嘴区域进行拍照。分选以及成像工作均在仪器内完成，外部会接显示屏直接进行结果的查看。,广州海关
R-2-5100-2024-0052,71101100,铂合金块,无,,"铂合金块:无品牌、未锻造、圆杯状，其中银含量约 18.08%，铂含量约 3.39%，金含量约 1.92%,铜含量约 76.4%；包装种类：纸箱",广州海关
R-2-2300-2024-0089,94054290,光学平台,Hybrid Optic Bench Assy,,该光学平台结构：由铝件，塑料件，电路板，散热片，树脂镜片，发光二极管，线缆，螺丝螺母组成。用途：流式细胞仪的光源定位部件。商品原理：将该光学平台安装在流式细胞仪上，通过发光二极管所发出的光源经树脂镜片将固定波段的光束照射到细胞的指定位置，从而分析细胞表型功能的特性。功能：起到照明作用。将特定波长的光源照向指定位置照明。不带有流式细胞仪的其他专用零件，光学平台就是流式细胞仪专用模块。,南京海关
R-2-4200-2024-0018,28269090,四氟硼酸锂,Lithium Tetrafluoroborate,,用途：电解液添加剂，增加电导率，提高电池的冷启动性能；成分:四氟硼酸锂99.5%以上、水分0.5%以下；该产品是一种单一的纯净物。CAS：14283-07-9；分子式：BF4Li；结构式：见附件；包装：塑料瓶+UN纸箱。加工方法：氟化锂+三氟化硼进行缩合反应、然后结晶过滤干燥得到四氟硼酸锂。,青岛海关
R-2-2200-2024-0197,38249999,氧化钇稳定氧化锆,Yttria stabilized zirconia,,包装：塑料桶/编织袋，成分：Zr02+HfO2 90% / Y2O3 7.9% / Al2O3 2%/其他杂质 0.1%，材质（原材料）：氧氯化锆、氧化钇、氧化铝，性能：有高硬度，高强度，高韧性，极高的耐磨性及耐化学腐蚀性等等优良的物化性能，用途：氧化钇稳定氧化锆材料具有高硬度、高熔点、绝缘性好、极高的耐磨性及耐化学腐蚀性等等优良的物化性能，广泛应用于陶瓷、生物医疗、耐火材料、传感器、光伏、能源材料等领域，该产品没有进行锆铪分离。加工方法：煅烧（氧氯化锆提取出氧化锆）-球磨（添加氧化钇和氧化铝进行混合）-喷雾干燥（出成品氧化钇稳定氧化锆），分析方法：ICP/XRF,上海海关
R-2-5300-2024-0029,90189099,超声刀杆,"Ultrasonic shears,curved tip",,1.规格型号：超声刀杆230(长274.67mm、直径不规则(2.15mm~4.7mm))超声刀杆360(长403.6mm、直径不规则(2.15mm~4.7mm))超声刀杆450(长491.38mm、直径不规则(2.15mm~4.7mm))2.结构原理：2.1.超声手术刀，全称为超声切割止血刀，是一种高频电外科设备和微创手术工具，主要由主机、超声刀头、脚踏板组成。其中，超声刀头主要零件有换能器手柄、外套管、内套管、超声刀杆、夹钳、组织垫、销钉。2.2.超声刀杆是以钛棒为原料(钛合金、直径5.5mm、钛含量88.077%)，主要加工工序有走心机、CNC加工、热处理、抛光、镭雕、表面处理(铁氟龙)等。2.3.超声刀杆是利用超声手术刀主机输出稳定的超声频率电信号，经换能器产生的电致伸缩效应，将超声电能通过超声刀杆上的不同结构进行放大和耦合，转换为机械能产生高频振动，对人体软组织起到切割止血作用，达到手术治疗目的。3.性能：频率Fs 54390~56610、阻抗R1≦70Ω、品质因素Qm≧6000。4.材质：钛合金、Ti6Al4V Eli。5.成分：Ti Balance、AI 5.5-6.5%、V 3.5-4.5%、Fe≤0.25%、O≤0.13%、C≤0.08%、N≤0.05%、H≤0.013%、Other≤0.40%。6.功能：6.1.超声手术刀功能：(1)超声手术刀是微创手术工具，它利用超声的空化效应和高频机械振动，改变人体软组织的结构和状态，主要用于外科手术的人体组织的切割与血管闭合等操作，达到治疗目的。(2)超声手术刀具有精准切割、切割效率高、灵活性好、出血少、对周围组织伤害少、术后恢复快等特点，刀头工作时也没有电流通过人体。6.2.超声刀杆功能：超声刀杆与夹钳配合，利用超声刀杆产生的高频振动，接触人体软组织并对软组织起到切割止血作用，达到手术治疗目的。7.用途：7.1.超声手术刀用途：主要在医院普外科、泌尿外科、妇产科、头颅外科的手术室应用，有无血手术刀之称。7.2.超声刀杆用途：作为超声手术刀的零件之一，无单独用途，其与其他零件组装后，主要用于医院普外科、泌尿外科、妇产科、头颅外科的手术室。8.超声刀杆加工方法：钛棒→走心机加工→CNC1~3夹加工→清洗1/检验→热处理→抛光→清洗2/检验→镭雕→表面处理(铁氟龙)→终检出货9.包装：纸箱,深圳海关
R-2-5200-2024-0048,95030089,玩具对讲机,Laser X Walkie Talkies,,由ABS塑胶料、MABS塑胶料经注塑工艺成型后进行喷油、移印处理，再组装五金配件、电子零件而制成; 玩具组成：产品由塑胶啤件、五金配件、电子零件组成; 玩具顔色：彩色；功能：无线电对话功能，仅限在600米的范围，相同颜色灯的对讲机，才能相互发射接收电话，频率:462.5625MHz，462.5875MHz，462.6125MHz，发射功率:0.5W，接收灵敏度:-122dBm，频率范围:27MHz~800MHz，作电压:2.5V-4.8V。包装方式：彩盒包装。,黄埔海关
R-2-5100-2024-0051,22087000,杰弗杜洺阁白兰地X0 咖啡味(配制酒),JF DOMINIC XO WHITE COFFEE CHL,,一、配料百分比：白兰地36.95%、蒸馏酒35.95%、水25%、食用香料（咖啡味）2%，焦糖色0.1%；   配料中的蒸馏酒，是由水果和甘蔗发酵蒸馏制成；       二、酒精度：40% vol，原瓶进口，品牌：杰弗杜洺阁，700ml/支，6支/箱,广州海关
R-2-5100-2024-0050,39241000,硅胶冷冻盒,Silicone Baby Food Freezer Tray,,性能：家用冷冻盒 | 用途：适用于个人或家庭日常制作或储存冰块、辅食（例如果泥、蔬菜泥等）| 成分和材质： PP（外盒）；硅胶（面盖、冷冻格）；304不锈钢（硅胶格骨架）| 包装： 卡纸包装,广州海关
R-2-4200-2024-0017,84807110,囊式型模用模壳,无,,本次进口的产品为囊式型模用模壳，型号： H430，主要材质为钢铁，主要用在轮胎硫化机上，主要用于轮胎生产硫化程序（轮胎生产主要包括原料密炼、胶部件准备、轮胎成型、轮胎硫化、轮胎检测及测试等）。主要原理：硫化轮胎用囊式型模共包括铝制花纹块、钢铁制侧板和钢铁制模具壳，在硫化轮胎时，将模具花纹块和侧板安装在模壳中，然后整体模具装到硫化机上，环状胶囊充气后产生压力将轮胎胚压向型模内壁，经过设定的时间以及高温高压，硫化成成品轮胎。硫化完的轮胎即具备了成品轮胎的图案以及胎面花纹，也有相应的硬度、强度和弹性。硫化是轮胎制造的关键步骤，也是轮胎生产过程的升华，其中硫化轮胎用囊式型模发挥了极其重要的作用。,青岛海关
R-2-4200-2024-0016,22029900,甘奇舒植物饮品,甘奇舒植物饮品,,性能：增强肝脏乙醇脱氢酶（ADH） 和 乙醛脱氢酶（ALDH ）活力水平，促进肝脏乙醇的代谢。提高肝脏抗氧化应激能力，降低氧自由基和脂质过氧化物对肝脏的损害。成分：水80%、白砂糖6.5%、枳椇子3.2%、山楂2.9%、甘草1.8%、葛根1.48%、大枣1.44%、陈皮1.15%、干姜0.52%、砂仁0.43%、茯苓0.29%、人参0.29%(5年及5年以下人工种植的人参)。包装 :50ml/瓶，12瓶/盒，120瓶/箱。饮用方法:直接饮用（本品每日食用不超过4瓶）。不适宜人群:孕妇、哺乳期妇女及14周岁以下儿童不宜食用,青岛海关
R-2-2200-2024-0189,21069062,风味植脂末,Flavor seasoning creamer,,规格：25kg/袋；用途：食品加工用途 成分：白砂糖88%，植脂末10%，盐2%； 加工方法：将白砂糖，植脂末和盐混合搅拌均匀，称重、装袋，贴标签，储存，装运。,上海海关
R-2-2300-2024-0083,84798999,无隔板打折机,HEPA PLEATING MACHINE,玻璃纤维打折机,"1、结构组成：放卷装置、压痕装置、分切装置、热熔胶喷涂装置、热熔胶冷却装置、折叠装置和控制装置等组成，以上装置中除玻璃纤维滤纸热熔胶喷涂装置中的胶箱是通过胶管与主机连接外，其他装置均在同一底座上。2、品牌：DOUBLEWIN CO.,LTD./无中文品牌名。3、型号：DBWH-W1300。4、用途：用于折叠玻璃纤维纸。5、功能：通过放卷装置，放卷玻璃纤维纸，然后通过压痕装置在玻璃纤维纸上等距压痕后，用热熔胶喷射头在玻璃纤维滤纸上喷射热熔胶，通过风扇吹干热熔胶后通过折叠装置按照压痕折叠玻璃纤维滤纸 6、玻璃纤维纸成分含量：玻璃纤维94%，胶乳6%。7、玻璃纤维纸工艺流程：玻璃纤维原料进厂-进料检验-检验合格的原料进行储存（不合格的原料按不合格品程序处理）-将储存的合格原料进行生产备料配料-浆料碎解-抄造成型-涂胶-干燥-进行缺陷检出-自动水分定量检测装置-卷取-大卷纸品质检验-合格卷纸分切复卷-成品纸品检验-合格纸品包装入库-成纸储存-成纸发运。8、工作过程 ：①把玻璃纤维纸卷解松供料  ②在滤纸上压出折纸位置痕迹 ③分切滤料④在滤料上喷热熔胶⑤ 冷却热熔胶：通过风机吹风实现 ⑥按照折纸位置痕迹折叠玻璃纤维纸，以便后续做成过过滤片",南京海关
R-2-3100-2024-0077,96032900,木刷,Updo Brush,,"规格：22.5*2.5*3.5cm；用途：多功能刷头发，刷除灰尘等；成分：榉木，尼龙, 猪鬃；加工方法：切割木头，喷漆，植毛",宁波海关
R-2-2200-2024-0185,29371900,甘精胰岛素EP标准品,Insulin Glargin Reference Standard（EP）,,"成分是约100%甘精胰岛素，欧盟委员会及EDQM官方产品,此类产品无相关检测报告。生产及销售方为欧洲药品和医疗保健质量局EDQM。该产品为欧盟药典的标准品，而非市售药或自制产品商品。原产地文件中提及其生产工艺如下，甘精胰岛素是通过重组DNA技术大肠杆菌生产的。该方法使用人胰岛素基因序列进行修饰，方法是将甘氨酸插入A链的位置A21，并插入精氨酸到B链的位置 B31 和 B32。该产品为《欧洲药典》规定的实验室检测的标准物质，产品为冷冻干燥制成。用途是在研究中用于定量甘精胰岛素的效价，仅用于科学研究开发和分析。",上海海关
R-2-2200-2024-0184,90328990,主推进遥控系统,Propulsion Control System,,型号：NORISTAR4;结构原理：遥控手柄通过连续变化的模拟量信号控制主机的转速，另外通过PLC逻辑控制螺旋桨正反转，由此控制船舶的前进及后退。控制方式：PLC控制，闭环控制，存在手动模式。控制对象：控制柴油机或电机的转速、转向及负荷。功能：远离机旁在驾驶台（或集控室）通过自动控制装置对传播主机进行有线操纵，不含无线通讯。用途：对船舶主机和螺旋桨进行远距离操纵，包括转速及转向。成份：金属和工程塑料。加工方式：组装。,上海海关
R-2-5300-2024-0026,48119000,香港银行用标签纸卷,无,无,(1)规格：大卷：0.079M(宽)x 102M(长)、直径：0.22M、每卷可印4124个标签、 小卷：0.079M(宽)x15.3M(长)、直径：0.12M、每卷可印1030个标签 (2)无型号 (3)结构原理：成卷 (4)无性能指标 (5)功能：感热打印方式显示交易数据，(6)用途：用于记录在柜员机上完成的交易数据 (7)成份：70克/平方米已涂布热敏纸 (8)加工方法：印刷、反射标靶印刷、裁切、上纸芯管、包装 (9)无分析方法 (10)无品牌，(11)正面印刷内容：银行名称和固定的表格格式，背面印刷内容：客户须知事项和反射标靶(用于切断每个标签的定位)(12)在银行柜员机上打印。,深圳海关
R-2-7900-2024-0017,38249999,芯片贴片胶,Die Attach Paste,环氧树脂银胶,"用途：用于半导体芯片粘合；成份: 银粉70-90%，环氧树脂10-20%，稀释剂5-10%，酚醛树脂1-5%,溶剂0.1-1%，双氰胺0.1-1%；规格:：35g/支：",成都海关
R-2-7900-2024-0016,83100000,蚀刻并列板,Plate Etched,,"形状：片状；材质：复合型材质；规格：长度197㎜，宽度100㎜，厚度0.55㎜；加工方法：蚀刻工艺；用途：电子设备外观件；成分：碳0.0133%，錳1.2335%, 硅0.2735%,磷0.0365%,硫0.0024%,鉻16.6415%,鎳10.11%,鉬2.0685%,鐵69.6208% 。",成都海关
R-2-5300-2024-0025,48119000,香港入境标签纸卷,HONGKONG IMMIGRATION LANDING SLIP,,(1)规格：大卷：0.6M（宽）x 102M（长）每卷可印2000个标签、 小卷：0.6M（宽）x 15.3M（长）每卷可印300个标签 (2)无型号 (3)结构原理：成卷 (4)无性能指标 (5)功能：感热打印方式显示入境数据 (6)用途：用于记录境外人员进入香港记录 (7)成份：90克/平方米已涂布三防热敏纸(防水、防油、防酒精) (8)加工方法：印刷、防伪微缩荧光印刷、反射标靶印刷、打印号码、裁切、上纸芯管、包装 (9)无分析方法，无品牌 (10)正面印刷内容：中间印有香港入境处标志、两边有香港入境处字样（防伪作用），背面印刷内容：入境人员须知事项和黑色反射标靶（用于切断每个标签的定位）(11)在热敏纸打印机上使用。,深圳海关
R-2-3100-2024-0074,21069090,GoodHealth好健康特级牡蛎精胶囊60粒/瓶,GoodHealth Oyster Plus Capsules 60 capsules/bottle,,"性能：主要成分：牡蛎干粉350mg,氧化锌8.8mg，辅料：微晶纤维素55.25mg,硬脂酸镁8.00mg,二氧化硅8.00mg，胶囊壳：硬壳明胶胶囊98.00mg，单粒总重量：528.00mg；单粒总重量：528.00mg、用途：含有天然雄激素，有助男性活力、成分：牡蛎干粉66.28%，氧化锌1.67%，微晶纤维素10.46%，硬脂酸镁1.52%，无水二氧化硅胶体1.52%，胶囊壳18.55%、材质：硬胶囊、包装：瓶装",宁波海关
R-2-2300-2024-0081,90318090,安全带张力传感器,Series 874 Seat Belt Tension Sensor,,"用途:用于汽车座椅安全带，实时追踪织带的使用状态并精确测量其所承受的张力。结构：张力传感器，线束，接插件。功能：实时追踪织带的使用状态并精确测量其所承受的张力,以放大后的电信号传至整车ECU, ECU将整车上所有传感器信号进行收集后，综合评估决定安全气囊的展开方式，从而保障驾乘安全。",南京海关
R-2-2300-2024-0080,85414300,太阳能板,Dye sensitized PV cell,,结构组件：玻璃、粘合剂、染料、母线、无二极管、单一太阳能面板，无电子元件。功能原理：该产品是光电化学过程将光能转换为电能的薄膜太阳能板，组装成块。用    途：用于遥控器，将太阳能转化为直流电能。成品加工工艺: 将太阳能电板通过焊接两条连接线与遥控器PCB板连接；太阳能电板与镜片做OCA（具有光学透明的一层特种无基材的双面胶）贴合，贴合后的组件用双面胶与遥控器面壳粘贴，组装成遥控器成品。,南京海关
R-2-5700-2024-0015,84279000,飞机发动机托架（带升降装置）,Engine STAND,发动机托架,"无牌无型号，适用于涡轮风扇发动机；材质：钢铁制，规格约400*250*150CM；功能描述：组成部件：底架，支撑架，升降装置。功能：作为承载发动机的平台，主要用于涡轮风扇发动机的运输和临时储存。通过托架上的机械臂支点，使用吊耳与发动机相连,将发动机固定于托架上，通过托架自身的减震、液压装置及叉车孔/运输轮,满足发动机运输和临时存放的要求。底架：发动机在运输过程中，与运输工具链接的部分，主要起到固定的作用；同时底架两边预留有2个叉车孔位及4个运输途中收起的脚轮，插孔主要方便叉车通过移动托架来完成发动机装载；4个脚轮不带有动力装置，需依靠人力推动或利用牵引杆连接托架前面挂钩用于其他车辆牵引移动，主要在发动机内场装机作业过程中，对发动机进行位置微调时使用，如前后左右移动，配合吊具和风扇机匣分离器共同完成发动机换发任务，平时脚轮收起。；支撑架：通过与发动机链接、起到支撑和固定发动机的作用。底架和支撑架通过减震的橡胶垫相连,从而实现托架整体的减震功能，确保运输过程中的减震要求。升降装置:支撑架前后安装有手动液压升降装置，通过调整支撑架高度,使发动机能快速装入、并固定于托架上。",拱北海关
R-2-5700-2024-0014,87164000,飞机发动机托架（不带升降装置）,Engine STAND,发动机托架,"无牌无型号，适用于涡轮风扇发动机，材质：钢铁制，规格约380*270*170CM；功能描述：组成部件：含底架，支撑架，无提升或其他机械装置；功能：作为承载发动机的平台，主要用于涡轮风扇发动机的运输和临时储存。通过托架上的机械臂支点，使用吊耳与发动机相连,将发动机固定于托架上，通过托架自身的减震、叉车孔及运输轮,满足发动机运输和临时存放的要求。底架：发动机在运输过程中，与运输工具链接的部分，主要起到固定的作用；同时底架两边预留有2个叉车孔位及4个运输途中收起的脚轮，插孔主要方便叉车通过移动托架来完成发动机装载；4个脚轮不带有动力装置，需依靠人力推动或利用牵引杆连接托架前面挂钩用于其他车辆牵引移动，主要在发动机内场装机作业过程中，对发动机进行位置微调时使用，如前后左右移动，配合吊具和风扇机匣分离器共同完成发动机换发任务，平时脚轮收起；支撑架：通过与发动机链接、起到支撑和固定发动机的作用。底架和支撑架通过减震的橡胶垫相连,从而实现托架整体的减震功能，确保运输过程中的减震要求。",拱北海关
R-2-5200-2024-0043,84561100,镭射印字机,E&R LF 2D Strip Laser Marker,,"1.用途说明：该设备专用于贴片式二极管、三极管生产工序中焊晶粒之前的极片印字工序，利用该设备在条状引线框架上进行激光刻印。
2.印字对象：金属制的条状引线框架表面（比如铜合金制，铁镍合金制）。
3.设备构造：镭射印字机主要由进料模块，镭射印字模块，影像检测模块，出料模块组成。该台镭射印字机经第三方检验机构（中国检验认证集团）认定属于机床，第三方检验机构出具的证书详见附件。
4.工作原理：镭射印字机主要由进料模块，镭射印字模块，影像检测模块，出料模块组成。人工首先通过电脑录入好需要打印的标识信息，然后将条状引线框架（未焊晶粒未焊线的极片）放到镭射印字机的进料模块，设备自动运送至镭射印字模块，然后利用镭射激光将需要打印的信息刻在其表面。镭射印字的具体过程是设备的镭射头发出镭射光，以热量灼烧铜引线框架边缘的表面，使在其表面形成可辨识的刻痕。
5.品牌：E&R。
6.型号：LM-502-CMBMC。",黄埔海关
R-2-2300-2024-0077,84289090,吹扫捕集仪,Eclipse Purge?and?Trap Sample Concentrator,,分析挥发性有机物，处理那些需要由气相色谱（GC）或气相色谱/质谱（GC/MS）进行分析的挥发性有机物质(VOC)样品，进样器先把待检测的样品进样给吹扫捕集样品浓缩仪，吹扫捕集仪通过电脑软件控制，采用调好流量的惰性气体，在固定时间内从液体、固体或气体样品中将挥发性有机化合物（VOC）吹扫出来，从样品中吹扫出来的分析物质，浓缩在适用于不同应用的捕集阱上，然后捕集阱被快速加热，阀芯转换位置，采用反向的载气流将分析物像“子弹”一样解析到气相色谱仪（GC）的色谱柱上。除水装置去除了捕集到的水，最大限度的减少了多余水分进入气相色谱仪（GC）的机会，自行完成浓缩的操作过程。,南京海关
